,name,city,income,credit_score,loan_amount,years_employed,points,loan_approved
838,Mallory Barajas,Dennischester,65992,466,10459,32,45.0,False
839,Michael Anderson,Lake Jasonfort,87654,333,49922,10,40.0,False
840,Jaclyn Crane,Rodriguezstad,40155,596,3639,33,55.0,False
841,Jacob Ritter,Kellytown,123525,446,10315,37,60.0,True
842,Timothy Torres,Jasonfort,67450,302,9016,35,45.0,False
843,Seth Butler,Arielmouth,60735,686,32144,38,60.0,True
844,Charles Fields,Contrerasberg,65614,633,6853,39,60.0,True
845,Jennifer Hall,Morganton,74020,753,49228,17,70.0,True
846,Sharon Mann,Annville,71904,387,13610,39,45.0,False
847,Nina Bernard,Port Thomas,147050,319,8882,34,60.0,True
848,Albert Buchanan,Port Janice,100798,754,6547,34,95.0,True
849,Jennifer Williams,West Samuelchester,40561,324,35596,20,25.0,False
850,Brandon Petty,West Douglas,48136,561,6873,9,30.0,False
851,Jason Jackson,Howardton,49769,605,26555,6,35.0,False
852,Jason Nguyen,Davidville,60311,353,14274,15,45.0,False
853,Laurie Vasquez,Averyview,80205,362,21862,29,45.0,False
854,Ana Johnson,North Joseph,120957,403,17142,35,55.0,False
855,Beth Carroll,Millerhaven,50028,508,10330,23,45.0,False
856,Carol Sanchez,Aliside,122591,762,3738,0,80.0,True
857,Tonya Oliver,North Brian,58043,793,18911,38,75.0,True
858,Michael Kidd,New Mary,38418,588,3980,10,50.0,False
859,Kristine Turner,Haleberg,84377,586,29309,13,60.0,True
860,Tina Flores,Cynthiamouth,83424,579,17117,20,50.0,False
861,Joe Greene,Lake Dennistown,73369,787,1280,0,70.0,True
862,Jennifer Woodard,Farmerside,101121,383,43539,4,35.0,False
863,Stephanie Cabrera,Chambersstad,91069,685,40407,22,65.0,True
864,Ryan Cain,North Stevenborough,84496,755,1613,14,90.0,True
865,Olivia Becker,Jamesport,38161,526,16352,31,25.0,False
866,Amanda Vasquez,North James,57110,705,8270,17,70.0,True
867,Kathleen Arnold,North Brianna,139168,366,9351,16,60.0,True
868,Savannah Ibarra,Jamestown,85069,845,41269,16,80.0,True
869,Sonya Smith,Davidsonton,81049,630,29347,26,60.0,True
870,Michael Owens,Zacharyton,148598,529,4077,17,60.0,True
871,Kim Stewart,Leeland,130898,325,49329,14,50.0,False
872,Jessica Jones,East Frank,106556,618,5118,40,75.0,True
873,Alyssa Reynolds,New Lauramouth,121163,556,17197,6,50.0,False
874,Tyler Wall,Aprilbury,32560,374,40319,39,25.0,False
875,Brendan Griffin,North Territon,142293,686,21531,4,70.0,True
876,Amy Lang,West Cherylchester,145429,367,7673,3,50.0,False
877,Elizabeth James,New Karenbury,130348,310,30714,24,55.0,False
878,Jeffrey Oliver,West Debratown,105456,764,34896,21,85.0,True
879,Ashley Smith,New Kristineborough,79857,429,42770,32,40.0,False
880,Jason Hardy,Lopezberg,92518,345,4964,8,50.0,False
881,Jeffrey Moyer,Larryside,30772,449,10660,30,30.0,False
882,Grant Wood,New Brendaberg,76105,358,16557,32,50.0,False
883,Kristin Brown,Jamesborough,69139,506,5482,21,50.0,False
884,Michael Christian,Christinachester,128759,636,11635,6,70.0,True
885,Richard Williams,North Danielle,81116,535,31574,39,45.0,False
886,John Tate,Lindsayfurt,141863,510,27234,11,55.0,False
887,Adriana Smith,Anthonyville,146869,445,20043,28,55.0,False
888,Kevin Cannon,North Jamesport,139540,478,15348,16,55.0,False
889,Gina Spencer,East Andrew,84921,568,7631,1,40.0,False
890,Breanna Pena,West Sharonport,100545,767,16738,23,90.0,True
891,Mary Pugh,Johnsland,127978,421,10465,8,55.0,False
892,Cheryl Gray,Louischester,126289,550,4027,39,60.0,True
893,Sarah Phillips,West John,101582,586,9287,32,75.0,True
894,Stacey Clark,Port Thomasland,134840,471,34332,24,50.0,False
895,Maria Hicks,Stoneburgh,109069,629,47693,23,60.0,True
896,Karen Sosa,Adamsfurt,147677,337,14579,14,60.0,True
897,Jodi Young,West Ronald,58906,686,38445,10,60.0,True
898,Jacqueline Pierce,Port Christopher,93993,755,35001,22,80.0,True
899,Andrew Hunt,Ronaldmouth,58760,742,27801,23,70.0,True
900,Emily Reyes,South Jesus,65774,377,24533,5,35.0,False
901,Jonathan Payne,Port Joshuabury,87125,400,8771,4,40.0,False
902,Joshua Cook,Johnview,93654,495,47244,38,40.0,False
903,Dr. Nicole Singh DVM,Port Kevinstad,33804,713,27591,37,50.0,False
904,Alexandra Valdez,Port Raymond,80968,532,48404,13,40.0,False
905,Jose Hartman,Sharpmouth,74057,648,6627,20,65.0,True
906,Jessica Mcmahon,Clarkmouth,117670,330,25556,8,50.0,False
907,Bethany Harding,South Lisastad,119016,647,15777,26,70.0,True
908,Paul Farmer,Marktown,134614,332,10118,9,55.0,False
909,Wendy Carroll,Bairdborough,82994,700,5175,34,80.0,True
910,John Murphy,Fowlerport,124919,395,12234,6,55.0,False
911,Cassandra Serrano,Johnsonborough,51632,371,26289,18,35.0,False
912,Eddie Warren,Brownhaven,140166,311,12260,20,60.0,True
913,Jennifer Moore,East Amandafort,91261,370,26493,13,45.0,False
914,Daniel Reynolds,Mooreshire,46728,617,39501,12,40.0,False
915,Melinda Hill,East Seanfurt,111560,552,35462,21,50.0,False
916,Sherry Stevens,Lake Christophermouth,100008,655,46895,19,60.0,True
917,Rodney Horn,Wrightchester,33534,768,26209,11,60.0,True
918,Anna Hale,East Nicoleburgh,148872,580,42162,34,65.0,True
919,Thomas Wolfe,South Robert,81645,424,25165,4,35.0,False
920,Kathy Chan,Hayesview,107580,512,34165,2,40.0,False
921,Benjamin Neal,Jamesfurt,103975,499,26996,2,40.0,False
922,Brian Stark,Ellenmouth,116900,796,31235,4,75.0,True
923,Matthew Reeves,Taylorview,33552,465,12179,1,15.0,False
924,Cassandra Martinez,Jacksontown,41003,579,11059,28,30.0,False
925,Daniel Johnson,South Heather,114246,835,43009,6,85.0,True
926,Eric Williams,North Kelseyborough,86179,555,25552,15,45.0,False
927,Alan Johnson,West Loriland,47786,525,7330,10,35.0,False
928,Amanda Hunt,Marcusborough,143619,512,36501,25,50.0,False
929,Barbara Lewis,Marcustown,90515,711,43860,20,65.0,True
930,Daniel Robinson,Debrastad,53819,344,5412,13,45.0,False
931,Randall Porter,Lake Amandashire,36590,475,17511,6,20.0,False
932,Vicki Horton,West Gregory,64099,625,44671,30,50.0,False
933,Alan Barr,Reyesbury,79689,815,39500,0,65.0,True
934,Luis Mosley,Joelchester,72906,549,41616,5,30.0,False
935,James Phillips,South James,57742,338,16601,38,40.0,False
936,Jill Wiley MD,Dawnton,89598,833,28190,18,85.0,True
937,Crystal Quinn,Johnside,72840,355,44581,15,35.0,False
938,Melissa Walker,Boydburgh,74236,752,42273,0,55.0,False
939,John Mckay,Lake Victoriaborough,129775,428,7013,11,60.0,True
940,Sandra Frederick,New Christian,145296,778,21412,10,90.0,True
941,Danielle Thompson,West Justin,79692,759,42654,12,75.0,True
942,Richard Miller,Raymondburgh,66471,782,29926,27,70.0,True
943,Nancy Wolf,Smithfurt,128567,737,6454,19,85.0,True
944,Brittany Barber,Oscarport,139041,764,19561,24,90.0,True
945,Karen Cook,Gonzalezborough,85255,304,1841,32,55.0,False
946,Jacqueline Sullivan,Bentleystad,63065,693,33083,19,60.0,True
947,Leah Ortiz,North Paulshire,139433,466,13728,27,60.0,True
948,Patricia Walton,Williamfort,40735,677,46642,3,40.0,False
949,Tammy Fitzgerald,South Austin,91644,670,42350,1,50.0,False
950,Maria Green,Blackburnberg,32540,560,17214,38,25.0,False
951,Mary Martin,Port Christopherfurt,128176,707,47272,37,75.0,True
952,Angela Kent,Martinchester,100702,558,46340,19,45.0,False
953,Kim Tanner,Jessicaland,36826,411,42692,36,25.0,False
954,Haley Thomas,Lake Raymond,75870,615,1420,10,70.0,True
955,April Jones,Warrenport,59389,741,12182,11,80.0,True
956,Michael Gonzalez,New Stacy,115215,761,38164,13,85.0,True
957,Anthony White,West Tonya,38993,718,29883,40,50.0,False
958,Ashley Fields,West Christopherville,132397,583,5211,21,75.0,True
959,David Washington,North Brucetown,115426,342,7346,13,60.0,True
960,Adrienne Morrison,Sarahfort,35276,645,40608,27,40.0,False
961,Michael Cooper,Lisastad,128858,708,25801,39,80.0,True
962,Henry Rivera,North Stephenfurt,34067,442,2682,38,40.0,False
963,Joseph Tapia,West Shannon,62411,786,34745,26,70.0,True
964,April Little,Allenstad,56130,346,49222,20,35.0,False
965,Cynthia Washington,West Ronniefort,139999,402,49121,24,50.0,False
966,Cory Thomas,East Tylerland,32671,608,45109,35,40.0,False
967,Mrs. Stephanie Friedman,Batesbury,111439,549,14870,10,55.0,False
968,Mary Davis,Holdertown,49973,464,22397,24,25.0,False
969,Connie Scott,Lynnville,61266,439,36031,40,35.0,False
970,Ann Holt,New Katie,46544,366,43204,21,25.0,False
971,Mitchell Fitzgerald,Valdezside,92070,747,16293,14,85.0,True
972,Earl Rodriguez,Joyborough,117747,418,38541,23,50.0,False
973,Erik James,West Bryanside,44993,494,26437,27,25.0,False
974,Jacob Shelton,New Elizabeth,103920,527,7985,25,60.0,True
975,Samuel Stewart,Maryfort,58569,766,10661,38,80.0,True
976,Paul Sweeney,New Lukehaven,90952,426,18920,36,50.0,False
977,Ronald Simpson,Brownmouth,121680,456,47973,13,50.0,False
978,Taylor Walker,Port Kimberlyfort,63586,701,20601,10,65.0,True
979,Kimberly Rogers DDS,Katherinefurt,130518,373,35592,18,50.0,False
980,Thomas Haynes,Davismouth,78351,355,47503,19,40.0,False
981,Christopher Taylor,Carterberg,51992,514,15295,12,40.0,False
982,Alexa Barber,Lake Kristenberg,109415,685,28991,10,75.0,True
983,Anne Mccann,North David,109593,827,43604,21,90.0,True
984,Tracy Sims,Sanchezville,128032,546,26994,31,55.0,False
985,Kyle Thompson,Parsonsland,124156,774,43618,24,85.0,True
986,Matthew Richardson,North Christopherfort,45012,821,15741,1,55.0,False
987,Victoria Mendoza,Port Brittanyfurt,131946,795,43244,27,85.0,True
988,Calvin Nguyen,South Lisa,137387,320,26807,35,55.0,False
989,Rachel Moreno,New Maryside,51465,427,14596,7,35.0,False
990,Kyle White,Mcbrideville,70768,340,9442,36,45.0,False
991,Christopher Hart,North Tinahaven,44168,605,24826,34,40.0,False
992,William Barrett,West Brandon,105849,831,20228,34,95.0,True
993,Kenneth Neal,Catherinehaven,33365,514,46084,6,20.0,False
994,Amanda Johnson,West Melissa,70888,520,9795,38,45.0,False
995,Leslie Ramirez,Jonesview,105470,566,26020,10,55.0,False
996,Bradley King,Bentleyberg,118781,848,14353,4,85.0,True
997,Debra Schultz,Lake Nathan,149016,823,40645,10,90.0,True
998,Christian Riddle,Graybury,79192,379,18702,7,45.0,False
999,Melinda Russell,Daniellestad,81990,641,18907,9,60.0,True
1000,Courtney Smith,Pettybury,123718,687,7881,7,80.0,True
1001,Nicholas Parker,Davisstad,55995,588,37145,17,50.0,False
1002,Stephanie Jackson,Whiteside,39961,712,32251,37,50.0,False
1003,Adam Palmer,Lake David,107607,687,38195,17,75.0,True
1004,Nicholas Villegas,Lake Charlotte,120520,768,12999,28,90.0,True
1005,Dr. Kathryn Hill,Meyerbury,138864,612,42656,5,60.0,True
1006,Jennifer Edwards,Lake Christopherbury,112213,395,11820,36,55.0,False
1007,Patrick Spencer,Stokestown,61830,734,45370,32,60.0,True
1008,Breanna Jimenez,South Alexanderborough,43356,307,47803,27,25.0,False
1009,Nicole Sanchez,New Shaneburgh,121382,836,15750,11,95.0,True
1010,Ryan Palmer,South Tylerburgh,131250,682,8420,21,85.0,True
1011,Danielle Ryan,West Kevinport,69529,571,14963,0,30.0,False
1012,Laura Robinson,Sarahhaven,141449,336,31346,39,55.0,False
1013,Amy Smith,Murphystad,119687,409,1337,22,60.0,True
1014,Charlotte Gomez,South Travisland,108697,841,34706,9,85.0,True
1015,Thomas Smith,Jeremyfurt,135582,683,20613,23,80.0,True
1016,Clarence Cain,South Dianamouth,45866,465,10166,22,35.0,False
1017,Abigail Stephenson,North Jake,134363,341,9760,25,60.0,True
1018,Gary Johnson,South Susan,104177,572,8785,26,60.0,True
1019,Jon Maldonado Jr.,Shawfurt,132581,434,8191,6,55.0,False
1020,Beth Cooper,Port Gabrielleton,35383,650,29158,38,40.0,False
1021,Jessica Roberts,Millerchester,75508,553,41475,9,35.0,False
1022,Chelsea Campbell,Port Josephbury,99827,739,14003,30,75.0,True
1023,Rhonda Haynes,East Victoria,86148,452,16032,7,45.0,False
1024,Andrew Mooney,South Andres,116706,504,6959,3,50.0,False
1025,Joseph Graves,East Matthew,78571,790,5020,32,90.0,True
1026,Anthony Rodriguez,Juanstad,39038,728,17185,20,50.0,False
1027,Catherine Smith,Jasonfort,96317,586,40749,6,50.0,False
1028,David Henry,Kevinville,114874,313,45758,35,50.0,False
1029,Bianca Ward,Juliashire,74725,841,40630,23,75.0,True
1030,Donald Silva,North Davidville,31658,342,39440,12,25.0,False
1031,Jeremy Garcia,Kevinfort,141355,506,35967,9,45.0,False
1032,Corey Pierce,Patriciaside,85057,655,24986,28,60.0,True
1033,Autumn Graham,Barneshaven,137784,322,11940,38,60.0,True
1034,Walter Roberts,Port Teresaborough,94251,707,33442,34,70.0,True
1035,Valerie Martin,Hartfurt,43833,710,40794,17,50.0,False
1036,Aaron Armstrong,Port Williamhaven,86822,837,17962,19,90.0,True
1037,Elizabeth Adams,East Jeffreyside,77472,543,20126,2,35.0,False
1038,Teresa Ramirez,West Morgan,113307,352,43101,15,50.0,False
1039,Christine Wilson DDS,Markside,146860,570,48322,8,45.0,False
1040,Logan Nguyen,Lake Lisastad,138620,524,48872,17,50.0,False
1041,Wesley Medina,Lake Juliefurt,90258,563,42040,40,40.0,False
1042,Christine Ramos,Josephshire,122708,704,11200,28,85.0,True
1043,Nicholas Richardson,Davisburgh,50052,770,13125,11,75.0,True
1044,John Blair,Andrewburgh,87080,481,26834,38,45.0,False
1045,Charles Simmons,Stoutfurt,53086,402,48468,33,35.0,False
1046,Paul Smith,South Patrickville,126180,313,43236,2,40.0,False
1047,Randy Adams,Port Tammyville,98386,646,47363,5,50.0,False
1048,John Hart,Ochoaport,115256,639,32385,9,60.0,True
1049,Joshua Adams,North Malloryville,65400,603,7721,32,60.0,True
1050,Jennifer Smith,North Jeremy,110728,694,10658,22,85.0,True
1051,Courtney Koch,Mcdanielville,135932,803,12112,7,95.0,True
1052,Tyler Campbell,New Matthewstad,100539,386,3840,38,60.0,True
1053,Jeffrey Rogers,Lake Ronald,131533,608,41944,18,65.0,True
1054,Brian Hendricks,Sarahland,93372,302,10741,9,45.0,False
1055,James Griffith,Briggsville,90931,737,48625,17,65.0,True
1056,Frank Anderson,Gomezfort,87091,734,32541,26,70.0,True
1057,Mallory Taylor,South Robert,138230,809,36307,34,90.0,True
1058,Joshua Hall Jr.,Rosebury,125817,389,16413,23,55.0,False
1059,Xavier Smith,Rosarioville,107656,361,23894,23,55.0,False
1060,Sharon Fuentes,Stevenside,65179,731,16892,13,65.0,True
1061,Amy Taylor,South Jessica,72245,734,25358,3,55.0,False
1062,Mary Jones,North Dylan,141635,444,6176,15,60.0,True
1063,Keith Cervantes,Port Ian,62177,443,35566,19,35.0,False
1064,Nathan Wallace,West Danielton,138885,332,40595,11,50.0,False
1065,Alexandra Wall,Spencerview,41359,813,21056,14,65.0,True
1066,Christopher Dudley,Spenceberg,66559,516,27240,39,35.0,False
1067,James Carson,Port Heatherfort,145557,620,43775,25,65.0,True
1068,Carmen Pratt,Leeville,89087,406,6099,23,55.0,False
1069,Sarah Johnson,Franciscoville,61963,366,14887,38,45.0,False
1070,Theodore Lopez,Lake Sarah,128366,546,18640,5,50.0,False
1071,Krystal Elliott,Williamsmouth,90910,395,21224,0,35.0,False
1072,Dr. Tina Porter,Karenstad,104691,432,47049,6,40.0,False
1073,Steven Gordon,North Brenda,109997,691,32257,37,75.0,True
1074,Amanda Martin,Millerland,117580,537,15132,9,50.0,False
1075,Candace Stuart,Sethberg,79674,647,20060,23,60.0,True
1076,Teresa Williams,Allenland,74092,456,38152,40,35.0,False
1077,Anne Smith PhD,Amyland,33761,810,7167,29,75.0,True
1078,Timothy Martin,Barbarastad,94789,391,5661,11,55.0,False
1079,Julia Andersen,Kathrynmouth,141536,443,9124,36,60.0,True
1080,Jack Mitchell MD,South Michael,72600,621,25489,5,50.0,False
1081,Katie Baker,New Tiffanyton,53834,550,46858,35,35.0,False
1082,Samuel Roberts,New Reginald,93904,374,15617,24,50.0,False
1083,Maureen Bailey,Daymouth,57802,411,6624,11,45.0,False
1084,Sylvia Nielsen,Gonzalezmouth,76507,366,21793,21,45.0,False
1085,Katelyn Park DDS,Shawnside,134573,459,31799,9,50.0,False
1086,Erica Johnson,Brownstad,63862,740,32025,13,70.0,True
1087,Sean Cisneros,Nelsonburgh,74608,385,10288,4,35.0,False
1088,Brad Russo,Savagehaven,66655,519,44885,16,35.0,False
1089,Anthony Jacobson,Petersonport,145385,468,14015,22,60.0,True
1090,Karen Nichols,Lake Samuel,108139,698,1650,35,85.0,True
1091,Linda Miller,West Elizabeth,121905,624,1929,9,70.0,True
1092,Taylor Porter,Danielchester,145357,569,35124,0,40.0,False
1093,Terri Mathews DDS,North Jefferyborough,66211,730,46642,34,60.0,True
1094,Lindsay Robinson,East Teresa,102848,314,25265,23,55.0,False
1095,Steven Shaw,Lake Victormouth,31330,723,27895,22,50.0,False
1096,Joshua Mills,Danielburgh,97715,769,29074,23,80.0,True
1097,Kurt Daniels,Mitchellchester,55042,590,47012,39,50.0,False
1098,Susan Garcia,Port Maryland,41221,316,41387,26,25.0,False
1099,Paul Hanson,Lake Seanshire,61635,333,44759,18,35.0,False
1100,Christy Frank,Wilsonfort,124381,427,23977,29,55.0,False
1101,Robert Padilla,Smithstad,83271,529,34263,18,40.0,False
1102,Matthew Parker,Nuneztown,94038,724,3141,0,65.0,True
1103,Richard Randall,Matthewshire,102768,740,16848,35,90.0,True
1104,Cheryl Newman,Port Sarahchester,129374,431,42698,24,50.0,False
1105,Carrie Strong,South Jerry,61499,429,34046,7,30.0,False
1106,Rachel Cameron,Maryburgh,120519,630,14353,5,65.0,True
1107,Jeffrey Fuller,North Christine,92402,380,38473,24,40.0,False
1108,Nicholas Lucero,Jacobbury,114659,604,13702,34,70.0,True
1109,Molly Roman,Townsendton,123302,581,6437,9,70.0,True
1110,Margaret Riley,North Stephenville,94332,409,10295,18,50.0,False
1111,Christopher Jones,Robertaborough,88743,700,7597,31,80.0,True
1112,Jennifer Tucker,East Gracefurt,133931,621,42520,28,65.0,True
1113,Keith Obrien,North Theresastad,32260,795,41239,38,60.0,True
1114,Brooke Harmon,East Catherineside,42196,323,34947,32,25.0,False
1115,Cindy Diaz,North Mark,68566,525,6468,8,45.0,False
1116,John Ashley,Jeanport,59045,778,49837,31,70.0,True
1117,Travis Nielsen,Geraldview,83005,702,7743,37,80.0,True
1118,Laurie Martin,Lake Tony,120673,756,28770,38,90.0,True
1119,Rose Dean,Pattersonshire,61890,661,25507,40,50.0,False
1120,Joanna Preston,Brendaport,70135,843,24085,25,80.0,True
1121,Christopher Morris,West John,117026,520,44054,23,50.0,False
1122,Richard Martinez,Haleymouth,106225,518,31498,36,50.0,False
1123,Stephanie Hoffman,Campbellborough,78368,839,15251,6,85.0,True
1124,Michelle Shah,New Patriciachester,92031,745,21826,20,85.0,True
1125,Anthony Snyder,West Robertville,102544,763,12215,38,90.0,True
1126,James Ray,Andrewshire,99588,304,31262,18,45.0,False
1127,Walter Johnson,West Deannaland,75056,781,7233,26,90.0,True
1128,Denise Molina,Millermouth,85771,805,41129,3,70.0,True
1129,Michael Gibson,Port Nathanielville,127771,329,15681,3,45.0,False
1130,Brenda Holder,Perezland,102140,495,48455,23,45.0,False
1131,Amy Ware,North Brandonport,73357,376,18283,21,45.0,False
1132,Rebecca Gray,East Brandy,76112,422,9276,20,50.0,False
1133,Nicole Barron,Walshville,122124,834,35576,15,90.0,True
1134,Mary Bray,Kendrafort,89473,531,7016,16,55.0,False
1135,Michelle Gomez,Lake Deborah,65509,510,46545,4,25.0,False
1136,Johnny Lewis,South Lori,70189,492,32958,6,30.0,False
1137,Robert Gill,Kathleenport,62951,764,43945,9,65.0,True
1138,Ashley Anderson,Paulmouth,60217,825,14305,25,85.0,True
1139,Donald Martin,Stephanieshire,45814,404,10652,29,35.0,False
1140,Natasha Allen,Lopeztown,124540,787,44377,33,85.0,True
1141,Derek Mcintosh,West Ryanberg,55242,706,33911,27,60.0,True
1142,Amy Nelson,North Deborahchester,71359,498,20267,12,40.0,False
1143,Kirk Moreno,Stoneville,45670,351,43358,15,25.0,False
1144,Colleen Brown,New Josephland,127370,844,7621,17,100.0,True
1145,Manuel Baldwin,Longbury,100236,574,33451,13,50.0,False
1146,Dalton Walsh,Jessicaville,129901,489,33980,39,50.0,False
1147,Eric Knox,East Leslie,120461,371,11921,11,60.0,True
1148,Jesse Rivers,Pattersontown,54267,481,18290,4,30.0,False
1149,Philip Smith,Tarashire,55105,301,33001,15,35.0,False
1150,Andrew Smith,Maryhaven,58361,815,11964,9,80.0,True
1151,Ariel Lara,Shaunstad,126810,563,44477,31,50.0,False
1152,Jimmy Carey,Jenniferhaven,93464,795,8389,17,90.0,True
1153,Monica Smith,Chaseberg,66241,665,33625,1,35.0,False
1154,Patrick Mcpherson,Jamieland,124972,498,25758,40,55.0,False
1155,Donald Sims,Archerhaven,107278,479,18387,22,55.0,False
1156,Jeanne Butler,Kyleton,129641,832,46995,21,90.0,True
1157,Barbara Pope,Keithtown,98765,810,45926,9,75.0,True
1158,Chris Levy,West Tommy,108222,366,20315,0,40.0,False
1159,Daniel Petersen,North Tracytown,67093,740,24085,0,60.0,True
1160,Chad Koch,North Jennifer,43176,446,49041,12,25.0,False
1161,Thomas Carter,South Sarahbury,139134,695,28693,25,80.0,True
1162,Annette Green,Carlaburgh,55443,746,45493,20,70.0,True
1163,Brenda Saunders,Derekside,68829,504,20730,19,40.0,False
1164,Keith Fuller,South Kimberly,59816,747,7294,8,75.0,True
1165,Melissa Gordon,Taylorchester,77301,777,28558,26,80.0,True
1166,Thomas Johnson,Davisberg,53519,609,16902,37,55.0,False
1167,Bethany Daniels,Brianfurt,69618,428,27407,0,25.0,False
1168,Phillip Holmes,North Brianville,31854,641,39950,6,35.0,False
1169,Krystal Vaughn,North Joyhaven,122801,354,46978,13,50.0,False
1170,Kristina Coffey,East Patty,100010,458,20719,40,55.0,False
1171,William Smith,Hansonborough,46591,417,5400,0,20.0,False
1172,Spencer Meyer,East Dale,65954,325,34148,28,35.0,False
1173,Timothy Evans,Mcgrathbury,35965,566,41157,28,25.0,False
1174,Lisa Reynolds,East Donaldbury,37146,474,34522,34,25.0,False
1175,John Roberts,New Trevorview,102529,700,26285,6,70.0,True
1176,Robert Hernandez,Stephenshire,68290,698,1722,37,75.0,True
1177,Matthew Barry,Williamsstad,121411,442,31664,29,50.0,False
1178,William Howard,West Rachel,46551,837,26599,32,65.0,True
1179,Matthew Bell,Stephenberg,113606,585,44151,19,65.0,True
1180,Andrea Franco,Bennettfort,143830,484,38751,32,50.0,False
1181,Kelly Anderson,Briannashire,128669,656,39305,39,65.0,True
1182,Andrea Johnson,East Colin,94340,408,33730,30,45.0,False
1183,David Ingram,North Rachel,43446,478,48720,24,25.0,False
1184,Jennifer Brown,Dannyland,144389,752,25531,38,90.0,True
1185,Alyssa Thompson,Lake Shannonberg,31607,504,13826,16,25.0,False
1186,Michael Perez DDS,Cervantesborough,105243,388,39149,1,35.0,False
1187,Mary Harris,North Michael,67268,717,38243,34,60.0,True
1188,Gina Fleming,Leeborough,91524,785,33823,22,80.0,True
1189,Steven Castaneda,South Ronaldfurt,92746,372,38299,5,35.0,False
1190,Joseph Garcia,Hallside,87733,638,2477,14,70.0,True
1191,Donna Clayton,Warnerland,74657,461,19878,4,30.0,False
1192,Dana Holmes,Reginaldton,54164,413,39192,30,35.0,False
1193,Victoria Delgado,West Robertborough,36734,642,4892,8,45.0,False
1194,Robert Rivera,East Trevorshire,63092,336,23665,4,30.0,False
1195,Linda Salazar,New Timothyberg,142947,577,48404,2,40.0,False
1196,Jonathan Perez,Ryanport,92616,533,2405,3,45.0,False
1197,Richard Gonzalez,Flemingtown,44953,793,4417,24,75.0,True
1198,Melissa Jordan,Dunnville,137756,748,8732,39,95.0,True
1199,Mrs. Cheryl Kim,East Jesseshire,38564,310,15884,26,25.0,False
1200,Stacy Mcguire,Port Alexisbury,82521,358,6020,3,45.0,False
1201,Christopher Williams,Carriebury,94454,599,9501,38,65.0,True
1202,Matthew Douglas,West Shawnaborough,39710,806,47219,22,65.0,True
1203,Shannon Wallace,Shellyside,105631,599,43837,15,60.0,True
1204,Debra Wolfe,North Michaelchester,112502,797,19335,5,85.0,True
1205,Chad Daugherty,West Judy,119974,515,9044,23,60.0,True
1206,Rachel Johnson,Lake Scott,37026,764,8486,1,55.0,False
1207,Mr. Donald Cruz PhD,North Joshuafurt,49887,807,2235,24,80.0,True
1208,Andrew Harris,Lake Ryan,49555,353,44280,19,25.0,False
1209,Phillip Pineda,Sandraview,136318,521,2792,21,60.0,True
1210,Lisa Glenn,Port Danielfurt,103772,594,36046,29,65.0,True
1211,Nathan Mack,Franciscofurt,69824,778,49865,15,70.0,True
1212,Adrian Marsh,Christopherbury,41164,602,23120,36,40.0,False
1213,Luis Ward,Kimberlytown,62530,427,21112,36,40.0,False
1214,Sara Abbott,Fordmouth,45525,309,31568,2,15.0,False
1215,Karen Richard,South Brian,103147,381,19117,39,55.0,False
1216,Tiffany Alexander,Katieview,130197,565,33435,8,45.0,False
1217,Christopher Pitts,East Dannyton,84548,488,45855,32,40.0,False
1218,Lauren Williams,North Stephanie,109471,565,17871,1,40.0,False
1219,Shannon Gomez,New Jimmyville,108135,379,34222,28,50.0,False
1220,Billy Harris,Mariachester,133643,373,43066,27,50.0,False
1221,Briana Nguyen,Matthewchester,111057,683,31846,18,75.0,True
1222,Caitlin Williams,New Anthony,59581,516,21519,32,40.0,False
1223,Natalie Logan,Shelbyfurt,131671,333,44061,9,45.0,False
1224,Zachary Miller,East Arianashire,98494,728,36321,7,65.0,True
1225,Kelsey Williams,Hopkinshaven,79856,751,21770,17,80.0,True
1226,Kenneth Bartlett,Johnstad,89049,536,30872,20,45.0,False
1227,Shirley Cox,Annland,149079,670,43816,30,75.0,True
1228,Joann Barnes,New John,88028,717,45178,37,65.0,True
1229,Lisa Flynn,Leeland,68974,718,28592,32,60.0,True
1230,Ms. Mackenzie Barton,South Alexis,142743,423,28435,16,55.0,False
1231,Michelle Harrison,East Mollychester,107139,324,46222,10,45.0,False
1232,Brandi Camacho DVM,Gomezfurt,86207,547,47660,18,40.0,False
1233,Steven Villanueva,Lake Brandonstad,70026,759,27796,40,75.0,True
1234,Ruben Roberts,Gravesburgh,104531,821,6491,9,95.0,True
1235,Linda Wood,Graymouth,111399,480,34336,37,50.0,False
1236,Raymond Hall,Petersonshire,37894,830,35419,37,65.0,True
1237,Tanya Mitchell,Floresburgh,109905,446,3748,13,60.0,True
1238,Donald Hobbs,Coryport,127004,469,8769,18,60.0,True
1239,Jeffrey Mcclure,Sheilaview,43006,408,16183,17,30.0,False
1240,Daniel Roberson,North Carmen,129973,340,36378,34,50.0,False
1241,Adriana Wall,West Jamesshire,57235,736,48978,28,60.0,True
1242,Sandra Phillips,Lake Jasmineville,111987,755,29328,31,85.0,True
1243,Sean Kaiser,West Lindabury,57659,376,22437,10,40.0,False
1244,Desiree Mccoy,Lake Haileyton,64687,743,7582,33,80.0,True
1245,Ryan Guerrero,Lake Courtneybury,116563,440,39426,24,50.0,False
1246,Connie Gonzalez,Hernandezburgh,40641,808,19520,8,60.0,True
1247,Shawn Tapia,North Ryan,50585,802,37551,39,75.0,True
